Name	Race	Pattern	Origin	Type	Notes
Serithael	Elf	Elven-Soft	Araethilion	PC	Nicole's character (Ser+ith+ael)
Ashford	Human	Human-Geography	Elderholt	PC	Kristine's character (Ash+ford)
Baz'gar	Orc	Orc-Punchy	Rakthok Horde	PC	Jeff's character (Baz+gar); of Dakmar'nak tribe
Merrowlyn	Human	Human-Geography	Merrowgate	NPC	Black Ledger leader (Merrow+lyn variant)
Ardenwick	Human	Human-Geography	Ardenhaven	NPC	Black Ledger fighter
Thornholt	Human	Human-Geography	Elderholt	NPC	Black Ledger warlock
Barkar-dun	Dwarf	Dwarf-Heavy	Garhammar	NPC	Black Ledger artificer
Zor'gar	Orc	Orc-Punchy	Garrok	NPC	Black Ledger barbarian
Ravenholt	Human	Human-Geography	Ardenhaven	NPC	Shardrunners sorcerer
Torford	Human	Human-Geography	Thorndale	NPC	Shardrunners rogue; from livestock village
Fizzbit Tangle	Gnome	Gnome-Whimsy	Merrowgate	NPC	Shardrunners artificer; gnomes not in conventions
Oakwick	Human	Human-Geography	Calstead	NPC	Shardrunners cleric; from grain farming village
Ug'nak	Orc	Orc-Punchy	Rakthok	NPC	Shardrunners druid; "of Rak'thokhar" is origin
Ironholt	Human	Human-Geography	Ardenhaven	NPC	Inkbound Charter ranger
Glendale	Human	Human-Geography	Ardenhaven	NPC	Inkbound Charter bard
Thrumgar	Dwarf	Dwarf-Heavy	Dulgarum	NPC	Inkbound Charter fighter
Suri Copperpin	Gnome	Gnome-Whimsy	Merrowgate	NPC	Inkbound Charter wizard; gnomes not in conventions
Redwick	Human	Human-Geography	Calstead	NPC	Inkbound Charter rogue; from grain farming village
Wolfridge	Human	Human-Geography	Ironridge	NPC	Lantern Wardens fighter; from mountain mining town
Brightford	Human	Human-Geography	Ardenhaven	NPC	Lantern Wardens cleric
Khargrim-dun	Dwarf	Dwarf-Heavy	Dulgarum	NPC	Lantern Wardens fighter
Pipwick Thistle	Gnome	Gnome-Whimsy	Merrowgate	NPC	Lantern Wardens rogue; gnomes not in conventions
Lucan Varro	Human	Calderon-Style	Calderon Imperium	NPC	Lantern Wardens wizard; foreign naming convention
Barnaby	Human	Human-Geography	Ardenhaven	NPC	Messenger runner for the Wayward Compass
Mokdur	Dwarf	Dwarf-Heavy	Garhammar	NPC	Compass-wright at the Wayward Compass; maintains tools and navigation gear
Khardruk-dun	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Derro warband lieutenant (skirmisher); feel: rusted
Grumkhor-hammar	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Derro warband leader “wizard” (relic-user); feel: hammering
Drakmor-dur	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Open name; feel: grave
Thar'brum	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Open name; feel: judging
Khorbad-dum	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Open name; feel: sour
Bardrog-dur	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Open name; feel: iron-fanged
Dulgor-grum	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Rogue (lvl 6) claywright; attacks intruders; talks to clay as if alive; feel: pit-deep
Brakthar-kar	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Derro warband lieutenant (bruiser); feel: chainbound
Drogbar-bor	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Open name; feel: blood-oath
Thargrum-dun	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Open name; feel: smoldering
Grumdrak-dum	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Derro foe party: Gloomcinders leader "wizard" (lantern relic); feel: dusk
Dulmok-grum	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Derro foe party: Gloomcinders lieutenant (trapper); feel: patient
Brogthar-kar	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Derro foe party: Gloomcinders lieutenant (hook bruiser); feel: brutal
Mara	Human	Human-Personal	stone-breach-ruins	NPC	Used name (reserved; avoid reuse)
Thrumzok-dum	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Derro foe party: Glass Choir leader "wizard" (Resonant Bell-Helm); feel: ringing
Dulgrin-kar	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Derro foe party: Glass Choir lieutenant (duelist); feel: measured
Khorvul-dur	Derro	Derro-Dwarf-Heavy	Deep Fall Ruins	NPC	Derro foe party: Glass Choir lieutenant (chain hook); feel: hooked
